technology,hour,value
Temperature,1014,1.8
Temperature,1015,1.7
Temperature,1016,2.9
Temperature,1017,4.2
Temperature,1018,4.9
Temperature,1019,5.8
Temperature,1020,6.7
Temperature,1021,7.3
Temperature,1022,7.3
Temperature,1023,7.5
Temperature,1024,7.3
Temperature,1025,6.1
Temperature,1026,4.8
Temperature,1027,4.0
Temperature,1028,3.7
Temperature,1029,3.4
Temperature,1030,3.0
Temperature,1031,2.9
Temperature,1032,0.7
Temperature,1033,-1.0
Temperature,1034,-1.4
Temperature,1035,-1.9
Temperature,1036,-1.2
Temperature,1037,-0.3
Temperature,1038,-0.7
Temperature,1039,-0.4
Temperature,1040,-0.3
Temperature,1041,0.1
Temperature,1042,0.7
Temperature,1043,1.2
Temperature,1044,2.2
Temperature,1045,3.2
Temperature,1046,5.4
Temperature,1047,6.8
Temperature,1048,6.1
Temperature,1049,2.4
Temperature,1050,0.1
Temperature,1051,-1.3
Temperature,1052,-1.7
Temperature,1053,-2.0
Temperature,1054,-2.4
Temperature,1055,-1.0
Temperature,1056,0.9
Temperature,1057,1.3
Temperature,1058,1.4
Temperature,1059,1.2
Temperature,1060,0.9
Temperature,1061,0.7
Temperature,1062,0.2
Temperature,1063,0.0
Temperature,1064,-0.2
Temperature,1065,-0.2
Temperature,1066,-0.1
Temperature,1067,0.2
Temperature,1068,0.9
Temperature,1069,1.2
Temperature,1070,1.9
Temperature,1071,2.1
Temperature,1072,2.3
Temperature,1073,2.2
Temperature,1074,2.0
Temperature,1075,1.7
Temperature,1076,1.3
Temperature,1077,1.2
Temperature,1078,1.2
Temperature,1079,0.8
Temperature,1080,0.1
Temperature,1081,-0.3
Temperature,1082,-0.8
Temperature,1083,-0.9
Temperature,1084,-1.0
Temperature,1085,-0.9
Temperature,1086,-1.0
Temperature,1087,-1.2
Temperature,1088,-1.1
Temperature,1089,-1.1
Temperature,1090,-0.9
Temperature,1091,-0.3
Temperature,1092,0.4
Temperature,1093,1.8
Temperature,1094,2.5
Temperature,1095,2.4
Temperature,1096,1.1
Temperature,1097,-0.6
Temperature,1098,-1.8
Temperature,1099,-1.8
Temperature,1100,-1.1
Temperature,1101,-1.9
Temperature,1102,-2.1
Temperature,1103,-1.7
Temperature,1104,-1.0
Temperature,1105,-0.9
Temperature,1106,-0.9
Temperature,1107,-1.0
Temperature,1108,-0.9
Temperature,1109,-1.7
Temperature,1110,-2.4
Temperature,1111,-2.2
Temperature,1112,-2.4
Temperature,1113,-0.9
Temperature,1114,-0.1
Temperature,1115,1.9
Temperature,1116,3.9
Temperature,1117,5.0
Temperature,1118,6.0
Temperature,1119,5.4
Temperature,1120,5.2
Temperature,1121,4.0
Temperature,1122,3.8
Temperature,1123,3.3
Temperature,1124,3.3
Temperature,1125,3.4
Temperature,1126,3.5
Temperature,1127,4.7
Temperature,1128,5.8
Temperature,1129,6.1
Temperature,1130,7.7
Temperature,1131,8.6
Temperature,1132,8.3
Temperature,1133,8.7
Temperature,1134,9.2
Temperature,1135,9.4
Temperature,1136,9.5
Temperature,1137,9.2
Temperature,1138,9.6
Temperature,1139,10.3
Temperature,1140,10.6
Temperature,1141,11.0
Temperature,1142,11.3
Temperature,1143,11.3
Temperature,1144,11.3
Temperature,1145,11.6
Temperature,1146,11.8
Temperature,1147,11.6
Temperature,1148,11.8
Temperature,1149,11.4
Temperature,1150,10.7
Temperature,1151,10.1
Temperature,1152,9.7
Temperature,1153,9.6
Temperature,1154,10.1
Temperature,1155,9.8
Temperature,1156,10.0
Temperature,1157,10.1
Temperature,1158,9.6
Temperature,1159,9.6
Temperature,1160,10.3
Temperature,1161,11.1
Temperature,1162,11.7
Temperature,1163,11.6
Temperature,1164,11.8
Temperature,1165,11.7
Temperature,1166,12.0
Temperature,1167,11.7
Temperature,1168,11.3
Temperature,1169,10.9
Temperature,1170,10.5
Temperature,1171,10.3
Temperature,1172,10.1
Temperature,1173,9.7
Temperature,1174,9.6
Temperature,1175,9.7
Temperature,1176,9.7
Temperature,1177,9.1
Temperature,1178,8.8
Temperature,1179,8.7
Temperature,1180,9.2
Temperature,1181,9.3
Temperature,1182,9.2
Temperature,1183,9.4
Temperature,1184,9.5
Temperature,1185,10.0
Temperature,1186,9.1
Temperature,1187,9.3
Temperature,1188,10.3
Temperature,1189,10.1
Temperature,1190,11.0
Temperature,1191,10.6
Temperature,1192,10.4
Temperature,1193,9.7
Temperature,1194,8.7
Temperature,1195,8.9
Temperature,1196,8.7
Temperature,1197,8.6
Temperature,1198,8.4
Temperature,1199,8.1
Temperature,1200,7.8
Temperature,1201,7.8
Temperature,1202,7.2
Temperature,1203,6.7
Temperature,1204,6.8
Temperature,1205,7.2
Temperature,1206,7.0
Temperature,1207,7.1
Temperature,1208,6.9
Temperature,1209,8.2
Temperature,1210,9.8
Temperature,1211,9.8
Temperature,1212,10.7
Temperature,1213,12.9
Temperature,1214,13.0
Temperature,1215,13.1
