Hour,fuels,value
2015,Coal,0.0
2016,Coal,0.0
2017,Coal,0.0
2018,Coal,0.0
2019,Coal,0.0
2020,Coal,0.0
2021,Coal,0.0
2022,Coal,0.0
2023,Coal,0.0
2024,Coal,0.0
2025,Coal,0.0
2026,Coal,0.0
2027,Coal,0.0
2028,Coal,0.0
2029,Coal,0.0
2030,Coal,0.0
2031,Coal,0.0
2032,Coal,0.0
2033,Coal,0.0
2034,Coal,0.0
2035,Coal,0.0
2036,Coal,0.0
2037,Coal,0.0
2038,Coal,0.0
2039,Coal,0.0
2040,Coal,0.0
2041,Coal,0.0
2042,Coal,0.0
2043,Coal,0.0
2044,Coal,0.0
2045,Coal,0.0
2046,Coal,0.0
2047,Coal,0.0
2048,Coal,0.0
2049,Coal,0.0
2050,Coal,0.0
2051,Coal,0.0
2052,Coal,0.0
2053,Coal,0.0
2054,Coal,0.0
2055,Coal,0.0
2056,Coal,0.0
2057,Coal,0.0
2058,Coal,0.0
2059,Coal,0.0
2060,Coal,0.0
2061,Coal,0.0
2062,Coal,0.0
2063,Coal,0.0
2064,Coal,0.0
2065,Coal,0.0
2066,Coal,0.0
2067,Coal,0.0
2068,Coal,0.0
2069,Coal,0.0
2070,Coal,0.0
2071,Coal,0.0
2072,Coal,0.0
2073,Coal,0.0
2074,Coal,0.0
2075,Coal,0.0
2076,Coal,0.0
2077,Coal,0.0
2078,Coal,0.0
2079,Coal,0.0
2080,Coal,0.0
2081,Coal,0.0
2082,Coal,0.0
2083,Coal,0.0
2084,Coal,0.0
2085,Coal,0.0
2086,Coal,0.0
2087,Coal,0.0
2088,Coal,0.0
2089,Coal,0.0
2090,Coal,0.0
2091,Coal,0.0
2092,Coal,0.0
2093,Coal,0.0
2094,Coal,0.0
2095,Coal,0.0
2096,Coal,0.0
2097,Coal,0.0
2098,Coal,0.0
2099,Coal,0.0
2100,Coal,0.0
2101,Coal,0.0
2102,Coal,0.0
2103,Coal,0.0
2104,Coal,0.0
2105,Coal,0.0
2106,Coal,0.0
2107,Coal,0.0
2108,Coal,0.0
2109,Coal,0.0
2110,Coal,0.0
2111,Coal,0.0
2112,Coal,0.0
2113,Coal,0.0
2114,Coal,0.0
2115,Coal,0.0
2116,Coal,0.0
2117,Coal,0.0
2118,Coal,0.0
2119,Coal,0.0
2120,Coal,0.0
2121,Coal,0.0
2122,Coal,0.0
2123,Coal,0.0
2124,Coal,0.0
2125,Coal,0.0
2126,Coal,0.0
2127,Coal,0.0
2128,Coal,0.0
2129,Coal,0.0
2130,Coal,0.0
2131,Coal,0.0
2132,Coal,0.0
2133,Coal,0.0
2134,Coal,0.0
2135,Coal,0.0
2136,Coal,0.0
2137,Coal,0.0
2138,Coal,0.0
2139,Coal,0.0
2140,Coal,0.0
2141,Coal,0.0
2142,Coal,0.0
2143,Coal,0.0
2144,Coal,0.0
2145,Coal,0.0
2146,Coal,0.0
2147,Coal,0.0
2148,Coal,0.0
2149,Coal,0.0
2150,Coal,0.0
2151,Coal,0.0
2152,Coal,0.0
2153,Coal,0.0
2154,Coal,0.0
2155,Coal,0.0
2156,Coal,0.0
2157,Coal,0.0
2158,Coal,0.0
2159,Coal,0.0
2160,Coal,0.0
2161,Coal,0.0
2162,Coal,0.0
2163,Coal,0.0
2164,Coal,0.0
2165,Coal,0.0
2166,Coal,0.0
2167,Coal,0.0
2168,Coal,0.0
2169,Coal,0.0
2170,Coal,0.0
2171,Coal,0.0
2172,Coal,0.0
2173,Coal,0.0
2174,Coal,0.0
2175,Coal,0.0
2176,Coal,0.0
2177,Coal,0.0
2178,Coal,0.0
2179,Coal,0.0
2180,Coal,0.0
2181,Coal,0.0
2182,Coal,0.0
2183,Coal,0.0
2184,Coal,0.0
2185,Coal,0.0
2186,Coal,0.0
2187,Coal,0.0
2188,Coal,0.0
2189,Coal,0.0
2190,Coal,0.0
2191,Coal,0.0
2192,Coal,0.0
2193,Coal,0.0
2194,Coal,0.0
2195,Coal,0.0
2196,Coal,0.0
2197,Coal,0.0
2198,Coal,0.0
2199,Coal,0.0
2200,Coal,0.0
2201,Coal,0.0
2202,Coal,0.0
2203,Coal,0.0
2204,Coal,0.0
2205,Coal,0.0
2206,Coal,0.0
2207,Coal,0.0
2208,Coal,0.0
2209,Coal,0.0
2210,Coal,0.0
2211,Coal,0.0
2212,Coal,0.0
2213,Coal,0.0
2214,Coal,0.0
2215,Coal,0.0
2216,Coal,0.0
2217,Coal,0.0
2218,Coal,0.0
2219,Coal,0.0
2220,Coal,0.0
2221,Coal,0.0
2222,Coal,0.0
2223,Coal,0.0
